,right punch,left punch
0,0.88,0.26
1,0.9,0.28
2,0.92,0.0
3,0.94,0.02
4,0.96,0.0
5,0.98,0.02
6,1.0,0.0
7,0.98,0.02
8,0.96,0.04
9,0.94,0.0
10,0.92,0.02
11,0.9,0.04
12,0.88,0.0
13,0.86,0.02
14,0.84,0.0
15,0.8200000000000001,0.02
16,0.8,0.0
17,0.0,0.02
18,0.0,0.0
19,0.0,0.02
20,0.0,0.0
21,0.0,0.02
22,0.02,0.04
23,0.0,0.0
24,0.02,0.02
25,0.04,0.04
26,0.06,0.06
27,0.08,0.08
28,0.1,0.1
29,0.12,0.12
30,0.14,0.14
31,0.16,0.16
32,0.18,0.18
33,0.2,0.2
34,0.22,0.22
35,0.24,0.24
36,0.26,0.26
37,0.28,0.28
38,0.3,0.3
39,0.32,0.32
40,0.34,0.34
41,0.36,0.0
42,0.38,0.02
43,0.4,0.04
44,0.42,0.0
45,0.44,0.02
46,0.46,0.04
47,0.48,0.0
48,0.5,0.02
49,0.52,0.04
50,0.54,0.06
51,0.56,0.0
52,0.58,0.02
53,0.6,0.04
54,0.62,0.0
55,0.64,0.02
56,0.66,0.04
57,0.68,0.06
58,0.7,0.0
59,0.72,0.02
60,0.74,0.04
61,0.76,0.06
62,0.78,0.08
63,0.8,0.1
64,0.82,0.12
65,0.84,0.14
66,0.86,0.16
67,0.88,0.18
68,0.9,0.2
69,0.92,0.22
70,0.94,0.24
71,0.96,0.26
72,0.98,0.28
73,1.0,0.3
74,0.98,0.32
75,0.96,0.34
76,0.94,0.36
77,0.92,0.38
78,0.9,0.4
79,0.88,0.42
80,0.86,0.44
81,0.84,0.46
82,0.8200000000000001,0.48
83,0.8,0.5
84,0.78,0.52
85,0.76,0.54
86,0.74,0.56
87,0.72,0.58
88,0.7,0.6
89,0.6799999999999999,0.62
90,0.6599999999999999,0.64
91,0.64,0.66
92,0.62,0.68
93,0.6,0.7
94,0.5800000000000001,0.72
95,0.56,0.74
96,0.54,0.76
97,0.52,0.78
98,0.5,0.8
99,0.48,0.82
100,0.45999999999999996,0.84
101,0.43999999999999995,0.86
102,0.42000000000000004,0.88
103,0.4,0.9
104,0.38,0.92
105,0.36,0.94
106,0.33999999999999997,0.96
107,0.31999999999999995,0.98
108,0.30000000000000004,1.0
109,0.28,0.98
110,0.26,0.96
111,0.24,0.94
112,0.21999999999999997,0.92
113,0.19999999999999996,0.9
114,0.18000000000000005,0.88
115,0.16000000000000003,0.86
116,0.14,0.84
117,0.12,0.8200000000000001
118,0.09999999999999998,0.8
119,0.07999999999999996,0.78
120,0.06000000000000005,0.76
121,0.040000000000000036,0.74
122,0.020000000000000018,0.72
123,0.0,0.0
124,0.0,0.022222222222222223
125,0.0,0.044444444444444446
126,0.0,0.06666666666666667
127,0.0,0.08888888888888889
128,0.0,0.1111111111111111
129,0.0,0.13333333333333333
130,0.0,0.15555555555555556
131,0.0,0.17777777777777778
132,0.0,0.2
133,0.04,0.2222222222222222
134,0.08,0.24444444444444444
135,0.12,0.26666666666666666
136,0.16,0.28888888888888886
137,0.2,0.3111111111111111
138,0.24,0.3333333333333333
139,0.28,0.35555555555555557
140,0.0,0.37777777777777777
141,0.02,0.4
142,0.0,0.4222222222222222
143,0.02,0.4444444444444444
144,0.04,0.4666666666666667
145,0.06,0.4888888888888889
146,0.08,0.5111111111111111
147,0.1,0.5333333333333333
148,0.12,0.5555555555555556
149,0.14,0.5777777777777777
150,0.16,0.6
151,0.18,0.6222222222222222
152,0.2,0.6444444444444445
153,0.22,0.6666666666666666
154,0.24,0.6888888888888889
155,0.26,0.7111111111111111
156,0.28,0.7333333333333333
157,0.3,0.7555555555555555
158,0.32,0.7777777777777778
159,0.34,0.8
160,0.36,0.8222222222222222
161,0.38,0.8444444444444444
162,0.4,0.8666666666666667
163,0.42,0.8888888888888888
164,0.44,0.9111111111111111
165,0.46,0.9333333333333333
166,0.48,0.9555555555555556
167,0.5,0.9777777777777777
168,0.52,1.0
169,0.54,0.98
170,0.56,0.96
171,0.58,0.94
172,0.6,0.92
173,0.62,0.9
174,0.64,0.88
175,0.66,0.86
176,0.68,0.84
177,0.7,0.8200000000000001
178,0.72,0.8
179,0.74,0.78
180,0.76,0.76
181,0.78,0.74
182,0.8,0.72
183,0.82,0.7
184,0.84,0.6799999999999999
185,0.86,0.6599999999999999
186,0.88,0.64
187,0.9,0.62
188,0.92,0.6
189,0.94,0.5800000000000001
190,0.96,0.56
191,0.98,0.54
192,1.0,0.52
193,0.98,0.5
194,0.96,0.48
195,0.94,0.45999999999999996
196,0.92,0.43999999999999995
197,0.9,0.42000000000000004
198,0.88,0.4
199,0.86,0.38
200,0.84,0.36
